,Count,Generation,Sex,Run
0,5000,0,Female,mc_prob_0_FC_0_1
1,4741,1,Female,mc_prob_0_FC_0_1
2,4568,2,Female,mc_prob_0_FC_0_1
3,4312,3,Female,mc_prob_0_FC_0_1
4,4380,4,Female,mc_prob_0_FC_0_1
5,4331,5,Female,mc_prob_0_FC_0_1
6,4212,6,Female,mc_prob_0_FC_0_1
7,4122,7,Female,mc_prob_0_FC_0_1
8,3792,8,Female,mc_prob_0_FC_0_1
9,3649,9,Female,mc_prob_0_FC_0_1
10,3516,10,Female,mc_prob_0_FC_0_1
11,3415,11,Female,mc_prob_0_FC_0_1
12,3490,12,Female,mc_prob_0_FC_0_1
13,4038,13,Female,mc_prob_0_FC_0_1
14,4595,14,Female,mc_prob_0_FC_0_1
15,4861,15,Female,mc_prob_0_FC_0_1
16,4969,16,Female,mc_prob_0_FC_0_1
17,5033,17,Female,mc_prob_0_FC_0_1
18,5011,18,Female,mc_prob_0_FC_0_1
19,4864,19,Female,mc_prob_0_FC_0_1
20,4884,20,Female,mc_prob_0_FC_0_1
21,4948,21,Female,mc_prob_0_FC_0_1
22,4869,22,Female,mc_prob_0_FC_0_1
23,5065,23,Female,mc_prob_0_FC_0_1
24,4877,24,Female,mc_prob_0_FC_0_1
25,4981,25,Female,mc_prob_0_FC_0_1
26,5016,26,Female,mc_prob_0_FC_0_1
27,4923,27,Female,mc_prob_0_FC_0_1
28,4884,28,Female,mc_prob_0_FC_0_1
29,4980,29,Female,mc_prob_0_FC_0_1
30,4887,30,Female,mc_prob_0_FC_0_1
31,4985,31,Female,mc_prob_0_FC_0_1
32,4962,32,Female,mc_prob_0_FC_0_1
33,4912,33,Female,mc_prob_0_FC_0_1
34,4953,34,Female,mc_prob_0_FC_0_1
35,5024,35,Female,mc_prob_0_FC_0_1
36,4879,36,Female,mc_prob_0_FC_0_1
37,4880,37,Female,mc_prob_0_FC_0_1
38,4915,38,Female,mc_prob_0_FC_0_1
39,4906,39,Female,mc_prob_0_FC_0_1
40,4947,40,Female,mc_prob_0_FC_0_1
41,5002,41,Female,mc_prob_0_FC_0_1
42,4979,42,Female,mc_prob_0_FC_0_1
43,4986,43,Female,mc_prob_0_FC_0_1
44,4946,44,Female,mc_prob_0_FC_0_1
45,4910,45,Female,mc_prob_0_FC_0_1
46,4893,46,Female,mc_prob_0_FC_0_1
47,4913,47,Female,mc_prob_0_FC_0_1
48,4833,48,Female,mc_prob_0_FC_0_1
49,4918,49,Female,mc_prob_0_FC_0_1
50,5010,50,Female,mc_prob_0_FC_0_1
51,6000,0,Male,mc_prob_0_FC_0_1
52,4767,1,Male,mc_prob_0_FC_0_1
53,4683,2,Male,mc_prob_0_FC_0_1
54,4487,3,Male,mc_prob_0_FC_0_1
55,4466,4,Male,mc_prob_0_FC_0_1
56,4384,5,Male,mc_prob_0_FC_0_1
57,4216,6,Male,mc_prob_0_FC_0_1
58,4243,7,Male,mc_prob_0_FC_0_1
59,3997,8,Male,mc_prob_0_FC_0_1
60,3778,9,Male,mc_prob_0_FC_0_1
61,3610,10,Male,mc_prob_0_FC_0_1
62,3449,11,Male,mc_prob_0_FC_0_1
63,3543,12,Male,mc_prob_0_FC_0_1
64,4182,13,Male,mc_prob_0_FC_0_1
