,Count,Generation,Sex,Run
0,5000,0,Female,mc_prob_0_FC_0_1
1,4499,1,Female,mc_prob_0_FC_0_1
2,4366,2,Female,mc_prob_0_FC_0_1
3,4335,3,Female,mc_prob_0_FC_0_1
4,4412,4,Female,mc_prob_0_FC_0_1
5,4368,5,Female,mc_prob_0_FC_0_1
6,4189,6,Female,mc_prob_0_FC_0_1
7,4109,7,Female,mc_prob_0_FC_0_1
8,4147,8,Female,mc_prob_0_FC_0_1
9,4099,9,Female,mc_prob_0_FC_0_1
10,3976,10,Female,mc_prob_0_FC_0_1
11,3804,11,Female,mc_prob_0_FC_0_1
12,3597,12,Female,mc_prob_0_FC_0_1
13,3535,13,Female,mc_prob_0_FC_0_1
14,3638,14,Female,mc_prob_0_FC_0_1
15,4072,15,Female,mc_prob_0_FC_0_1
16,4576,16,Female,mc_prob_0_FC_0_1
17,4860,17,Female,mc_prob_0_FC_0_1
18,4773,18,Female,mc_prob_0_FC_0_1
19,4786,19,Female,mc_prob_0_FC_0_1
20,4898,20,Female,mc_prob_0_FC_0_1
21,5031,21,Female,mc_prob_0_FC_0_1
22,4890,22,Female,mc_prob_0_FC_0_1
23,5046,23,Female,mc_prob_0_FC_0_1
24,4961,24,Female,mc_prob_0_FC_0_1
25,4924,25,Female,mc_prob_0_FC_0_1
26,4794,26,Female,mc_prob_0_FC_0_1
27,4895,27,Female,mc_prob_0_FC_0_1
28,5033,28,Female,mc_prob_0_FC_0_1
29,4992,29,Female,mc_prob_0_FC_0_1
30,4929,30,Female,mc_prob_0_FC_0_1
31,5111,31,Female,mc_prob_0_FC_0_1
32,5008,32,Female,mc_prob_0_FC_0_1
33,5021,33,Female,mc_prob_0_FC_0_1
34,4843,34,Female,mc_prob_0_FC_0_1
35,4902,35,Female,mc_prob_0_FC_0_1
36,5033,36,Female,mc_prob_0_FC_0_1
37,4848,37,Female,mc_prob_0_FC_0_1
38,4880,38,Female,mc_prob_0_FC_0_1
39,4905,39,Female,mc_prob_0_FC_0_1
40,4892,40,Female,mc_prob_0_FC_0_1
41,4924,41,Female,mc_prob_0_FC_0_1
42,4872,42,Female,mc_prob_0_FC_0_1
43,4833,43,Female,mc_prob_0_FC_0_1
44,5009,44,Female,mc_prob_0_FC_0_1
45,5085,45,Female,mc_prob_0_FC_0_1
46,4932,46,Female,mc_prob_0_FC_0_1
47,4861,47,Female,mc_prob_0_FC_0_1
48,4976,48,Female,mc_prob_0_FC_0_1
49,4969,49,Female,mc_prob_0_FC_0_1
50,5012,50,Female,mc_prob_0_FC_0_1
51,6000,0,Male,mc_prob_0_FC_0_1
52,4601,1,Male,mc_prob_0_FC_0_1
53,4537,2,Male,mc_prob_0_FC_0_1
54,4498,3,Male,mc_prob_0_FC_0_1
55,4413,4,Male,mc_prob_0_FC_0_1
56,4433,5,Male,mc_prob_0_FC_0_1
57,4377,6,Male,mc_prob_0_FC_0_1
58,4138,7,Male,mc_prob_0_FC_0_1
59,4159,8,Male,mc_prob_0_FC_0_1
60,4104,9,Male,mc_prob_0_FC_0_1
61,4025,10,Male,mc_prob_0_FC_0_1
62,3823,11,Male,mc_prob_0_FC_0_1
63,3647,12,Male,mc_prob_0_FC_0_1
64,3568,13,Male,mc_prob_0_FC_0_1
65,3648,14,Male,mc_prob_0_FC_0_1
66,4102,15,Male,mc_prob_0_FC_0_1
67,4593,16,Male,mc_prob_0_FC_0_1
68,4954,17,Male,mc_prob_0_FC_0_1
69,5038,18,Male,mc_prob_0_FC_0_1
70,4842,19,Male,mc_prob_0_FC_0_1
71,4963,20,Male,mc_prob_0_FC_0_1
72,5079,21,Male,mc_prob_0_FC_0_1
73,4965,22,Male,mc_prob_0_FC_0_1
74,5083,23,Male,mc_prob_0_FC_0_1
75,5088,24,Male,mc_prob_0_FC_0_1
76,5034,25,Male,mc_prob_0_FC_0_1
77,4875,26,Male,mc_prob_0_FC_0_1
78,4980,27,Male,mc_prob_0_FC_0_1
79,5056,28,Male,mc_prob_0_FC_0_1
80,5082,29,Male,mc_prob_0_FC_0_1
81,4934,30,Male,mc_prob_0_FC_0_1
82,5131,31,Male,mc_prob_0_FC_0_1
83,5083,32,Male,mc_prob_0_FC_0_1
84,5111,33,Male,mc_prob_0_FC_0_1
85,4920,34,Male,mc_prob_0_FC_0_1
86,4908,35,Male,mc_prob_0_FC_0_1
87,5154,36,Male,mc_prob_0_FC_0_1
88,4955,37,Male,mc_prob_0_FC_0_1
89,4882,38,Male,mc_prob_0_FC_0_1
90,4985,39,Male,mc_prob_0_FC_0_1
91,5006,40,Male,mc_prob_0_FC_0_1
92,5028,41,Male,mc_prob_0_FC_0_1
93,5065,42,Male,mc_prob_0_FC_0_1
94,4849,43,Male,mc_prob_0_FC_0_1
95,5078,44,Male,mc_prob_0_FC_0_1
96,5141,45,Male,mc_prob_0_FC_0_1
97,5090,46,Male,mc_prob_0_FC_0_1
98,4893,47,Male,mc_prob_0_FC_0_1
99,5002,48,Male,mc_prob_0_FC_0_1
100,5007,49,Male,mc_prob_0_FC_0_1
101,5084,50,Male,mc_prob_0_FC_0_1
,Count,Generation,Sex,Run
0,5000,0,Female,mc_prob_0_FC_0_2
1,4710,1,Female,mc_prob_0_FC_0_2
2,4469,2,Female,mc_prob_0_FC_0_2
3,4606,3,Female,mc_prob_0_FC_0_2
4,4555,4,Female,mc_prob_0_FC_0_2
5,4392,5,Female,mc_prob_0_FC_0_2
6,4364,6,Female,mc_prob_0_FC_0_2
7,4235,7,Female,mc_prob_0_FC_0_2
8,4143,8,Female,mc_prob_0_FC_0_2
9,4063,9,Female,mc_prob_0_FC_0_2
10,3791,10,Female,mc_prob_0_FC_0_2
11,3748,11,Female,mc_prob_0_FC_0_2
12,3648,12,Female,mc_prob_0_FC_0_2
13,3663,13,Female,mc_prob_0_FC_0_2
14,3582,14,Female,mc_prob_0_FC_0_2
15,3954,15,Female,mc_prob_0_FC_0_2
16,4627,16,Female,mc_prob_0_FC_0_2
17,4868,17,Female,mc_prob_0_FC_0_2
18,5016,18,Female,mc_prob_0_FC_0_2
19,5089,19,Female,mc_prob_0_FC_0_2
20,4977,20,Female,mc_prob_0_FC_0_2
21,5102,21,Female,mc_prob_0_FC_0_2
22,5000,22,Female,mc_prob_0_FC_0_2
23,4908,23,Female,mc_prob_0_FC_0_2
24,4919,24,Female,mc_prob_0_FC_0_2
25,4998,25,Female,mc_prob_0_FC_0_2
26,4943,26,Female,mc_prob_0_FC_0_2
27,4830,27,Female,mc_prob_0_FC_0_2
28,4853,28,Female,mc_prob_0_FC_0_2
29,5001,29,Female,mc_prob_0_FC_0_2
30,4940,30,Female,mc_prob_0_FC_0_2
31,5012,31,Female,mc_prob_0_FC_0_2
32,4951,32,Female,mc_prob_0_FC_0_2
33,4986,33,Female,mc_prob_0_FC_0_2
34,5020,34,Female,mc_prob_0_FC_0_2
35,4986,35,Female,mc_prob_0_FC_0_2
