,Count,Generation,Sex,Run
0,5000,0,Female,mc_prob_0_FC_0_1
1,4308,1,Female,mc_prob_0_FC_0_1
2,4154,2,Female,mc_prob_0_FC_0_1
3,3943,3,Female,mc_prob_0_FC_0_1
4,3685,4,Female,mc_prob_0_FC_0_1
5,3525,5,Female,mc_prob_0_FC_0_1
6,3677,6,Female,mc_prob_0_FC_0_1
7,4202,7,Female,mc_prob_0_FC_0_1
8,4701,8,Female,mc_prob_0_FC_0_1
9,4947,9,Female,mc_prob_0_FC_0_1
10,4960,10,Female,mc_prob_0_FC_0_1
11,5032,11,Female,mc_prob_0_FC_0_1
12,4988,12,Female,mc_prob_0_FC_0_1
13,4864,13,Female,mc_prob_0_FC_0_1
14,5080,14,Female,mc_prob_0_FC_0_1
15,4998,15,Female,mc_prob_0_FC_0_1
16,4917,16,Female,mc_prob_0_FC_0_1
17,4992,17,Female,mc_prob_0_FC_0_1
18,4902,18,Female,mc_prob_0_FC_0_1
19,4906,19,Female,mc_prob_0_FC_0_1
20,5013,20,Female,mc_prob_0_FC_0_1
21,4978,21,Female,mc_prob_0_FC_0_1
22,4993,22,Female,mc_prob_0_FC_0_1
23,5052,23,Female,mc_prob_0_FC_0_1
24,4972,24,Female,mc_prob_0_FC_0_1
25,4999,25,Female,mc_prob_0_FC_0_1
26,4885,26,Female,mc_prob_0_FC_0_1
27,4935,27,Female,mc_prob_0_FC_0_1
28,4986,28,Female,mc_prob_0_FC_0_1
29,4884,29,Female,mc_prob_0_FC_0_1
30,5008,30,Female,mc_prob_0_FC_0_1
31,5029,31,Female,mc_prob_0_FC_0_1
32,4970,32,Female,mc_prob_0_FC_0_1
33,4784,33,Female,mc_prob_0_FC_0_1
34,4835,34,Female,mc_prob_0_FC_0_1
35,4978,35,Female,mc_prob_0_FC_0_1
36,5026,36,Female,mc_prob_0_FC_0_1
37,5003,37,Female,mc_prob_0_FC_0_1
38,4995,38,Female,mc_prob_0_FC_0_1
39,4966,39,Female,mc_prob_0_FC_0_1
40,4936,40,Female,mc_prob_0_FC_0_1
41,4864,41,Female,mc_prob_0_FC_0_1
42,5151,42,Female,mc_prob_0_FC_0_1
43,4986,43,Female,mc_prob_0_FC_0_1
44,4927,44,Female,mc_prob_0_FC_0_1
45,4869,45,Female,mc_prob_0_FC_0_1
46,5017,46,Female,mc_prob_0_FC_0_1
47,5043,47,Female,mc_prob_0_FC_0_1
48,4991,48,Female,mc_prob_0_FC_0_1
49,4953,49,Female,mc_prob_0_FC_0_1
50,4911,50,Female,mc_prob_0_FC_0_1
51,7000,0,Male,mc_prob_0_FC_0_1
52,4366,1,Male,mc_prob_0_FC_0_1
53,4287,2,Male,mc_prob_0_FC_0_1
54,4025,3,Male,mc_prob_0_FC_0_1
55,3706,4,Male,mc_prob_0_FC_0_1
56,3571,5,Male,mc_prob_0_FC_0_1
57,3763,6,Male,mc_prob_0_FC_0_1
58,4285,7,Male,mc_prob_0_FC_0_1
59,4745,8,Male,mc_prob_0_FC_0_1
60,5009,9,Male,mc_prob_0_FC_0_1
61,5001,10,Male,mc_prob_0_FC_0_1
62,5042,11,Male,mc_prob_0_FC_0_1
63,5062,12,Male,mc_prob_0_FC_0_1
64,4948,13,Male,mc_prob_0_FC_0_1
65,5089,14,Male,mc_prob_0_FC_0_1
66,5119,15,Male,mc_prob_0_FC_0_1
67,4940,16,Male,mc_prob_0_FC_0_1
68,4993,17,Male,mc_prob_0_FC_0_1
69,5001,18,Male,mc_prob_0_FC_0_1
70,5044,19,Male,mc_prob_0_FC_0_1
71,5039,20,Male,mc_prob_0_FC_0_1
72,5065,21,Male,mc_prob_0_FC_0_1
73,5013,22,Male,mc_prob_0_FC_0_1
74,5081,23,Male,mc_prob_0_FC_0_1
75,5034,24,Male,mc_prob_0_FC_0_1
76,5023,25,Male,mc_prob_0_FC_0_1
77,4972,26,Male,mc_prob_0_FC_0_1
78,4947,27,Male,mc_prob_0_FC_0_1
79,5096,28,Male,mc_prob_0_FC_0_1
80,4949,29,Male,mc_prob_0_FC_0_1
81,5058,30,Male,mc_prob_0_FC_0_1
82,5104,31,Male,mc_prob_0_FC_0_1
83,5118,32,Male,mc_prob_0_FC_0_1
84,5028,33,Male,mc_prob_0_FC_0_1
85,4872,34,Male,mc_prob_0_FC_0_1
86,5020,35,Male,mc_prob_0_FC_0_1
87,5091,36,Male,mc_prob_0_FC_0_1
88,5105,37,Male,mc_prob_0_FC_0_1
89,4998,38,Male,mc_prob_0_FC_0_1
90,5032,39,Male,mc_prob_0_FC_0_1
91,4939,40,Male,mc_prob_0_FC_0_1
92,4964,41,Male,mc_prob_0_FC_0_1
93,5151,42,Male,mc_prob_0_FC_0_1
94,5237,43,Male,mc_prob_0_FC_0_1
95,4930,44,Male,mc_prob_0_FC_0_1
96,4969,45,Male,mc_prob_0_FC_0_1
97,5067,46,Male,mc_prob_0_FC_0_1
98,5158,47,Male,mc_prob_0_FC_0_1
99,5053,48,Male,mc_prob_0_FC_0_1
100,5130,49,Male,mc_prob_0_FC_0_1
101,4980,50,Male,mc_prob_0_FC_0_1
,Count,Generation,Sex,Run
0,5000,0,Female,mc_prob_0_FC_0_2
1,4289,1,Female,mc_prob_0_FC_0_2
2,4102,2,Female,mc_prob_0_FC_0_2
3,3915,3,Female,mc_prob_0_FC_0_2
4,3703,4,Female,mc_prob_0_FC_0_2
5,3501,5,Female,mc_prob_0_FC_0_2
6,3554,6,Female,mc_prob_0_FC_0_2
7,3974,7,Female,mc_prob_0_FC_0_2
8,4588,8,Female,mc_prob_0_FC_0_2
9,4872,9,Female,mc_prob_0_FC_0_2
10,5003,10,Female,mc_prob_0_FC_0_2
11,5081,11,Female,mc_prob_0_FC_0_2
12,5058,12,Female,mc_prob_0_FC_0_2
13,4996,13,Female,mc_prob_0_FC_0_2
14,5066,14,Female,mc_prob_0_FC_0_2
15,5022,15,Female,mc_prob_0_FC_0_2
16,4772,16,Female,mc_prob_0_FC_0_2
17,4875,17,Female,mc_prob_0_FC_0_2
18,5002,18,Female,mc_prob_0_FC_0_2
19,4904,19,Female,mc_prob_0_FC_0_2
20,4873,20,Female,mc_prob_0_FC_0_2
21,4776,21,Female,mc_prob_0_FC_0_2
22,4876,22,Female,mc_prob_0_FC_0_2
23,4915,23,Female,mc_prob_0_FC_0_2
24,4934,24,Female,mc_prob_0_FC_0_2
25,4935,25,Female,mc_prob_0_FC_0_2
26,5020,26,Female,mc_prob_0_FC_0_2
27,5136,27,Female,mc_prob_0_FC_0_2
28,5087,28,Female,mc_prob_0_FC_0_2
29,4956,29,Female,mc_prob_0_FC_0_2
30,4987,30,Female,mc_prob_0_FC_0_2
31,4994,31,Female,mc_prob_0_FC_0_2
32,4900,32,Female,mc_prob_0_FC_0_2
33,5010,33,Female,mc_prob_0_FC_0_2
34,5053,34,Female,mc_prob_0_FC_0_2
35,5080,35,Female,mc_prob_0_FC_0_2
36,5007,36,Female,mc_prob_0_FC_0_2
37,4793,37,Female,mc_prob_0_FC_0_2
38,4939,38,Female,mc_prob_0_FC_0_2
39,5136,39,Female,mc_prob_0_FC_0_2
40,5073,40,Female,mc_prob_0_FC_0_2
41,4888,41,Female,mc_prob_0_FC_0_2
42,4906,42,Female,mc_prob_0_FC_0_2
43,4882,43,Female,mc_prob_0_FC_0_2
44,5028,44,Female,mc_prob_0_FC_0_2
45,4909,45,Female,mc_prob_0_FC_0_2
46,4927,46,Female,mc_prob_0_FC_0_2
47,4997,47,Female,mc_prob_0_FC_0_2
48,4951,48,Female,mc_prob_0_FC_0_2
49,4885,49,Female,mc_prob_0_FC_0_2
50,4846,50,Female,mc_prob_0_FC_0_2
51,7000,0,Male,mc_prob_0_FC_0_2
52,4361,1,Male,mc_prob_0_FC_0_2
53,4259,2,Male,mc_prob_0_FC_0_2
54,3924,3,Male,mc_prob_0_FC_0_2
55,3807,4,Male,mc_prob_0_FC_0_2
56,3602,5,Male,mc_prob_0_FC_0_2
57,3642,6,Male,mc_prob_0_FC_0_2
58,4040,7,Male,mc_prob_0_FC_0_2
59,4651,8,Male,mc_prob_0_FC_0_2
60,4910,9,Male,mc_prob_0_FC_0_2
61,5019,10,Male,mc_prob_0_FC_0_2
62,5126,11,Male,mc_prob_0_FC_0_2
63,5060,12,Male,mc_prob_0_FC_0_2
64,5028,13,Male,mc_prob_0_FC_0_2
65,5174,14,Male,mc_prob_0_FC_0_2
66,5056,15,Male,mc_prob_0_FC_0_2
67,5076,16,Male,mc_prob_0_FC_0_2
68,4891,17,Male,mc_prob_0_FC_0_2
69,5005,18,Male,mc_prob_0_FC_0_2
70,4979,19,Male,mc_prob_0_FC_0_2
71,5046,20,Male,mc_prob_0_FC_0_2
72,4912,21,Male,mc_prob_0_FC_0_2
73,4938,22,Male,mc_prob_0_FC_0_2
74,5043,23,Male,mc_prob_0_FC_0_2
75,4977,24,Male,mc_prob_0_FC_0_2
76,4961,25,Male,mc_prob_0_FC_0_2
77,5031,26,Male,mc_prob_0_FC_0_2
78,5145,27,Male,mc_prob_0_FC_0_2
79,5094,28,Male,mc_prob_0_FC_0_2
80,5039,29,Male,mc_prob_0_FC_0_2
81,4987,30,Male,mc_prob_0_FC_0_2
82,5130,31,Male,mc_prob_0_FC_0_2
83,4992,32,Male,mc_prob_0_FC_0_2
84,5041,33,Male,mc_prob_0_FC_0_2
85,5067,34,Male,mc_prob_0_FC_0_2
86,5114,35,Male,mc_prob_0_FC_0_2
87,5121,36,Male,mc_prob_0_FC_0_2
88,4964,37,Male,mc_prob_0_FC_0_2
89,5010,38,Male,mc_prob_0_FC_0_2
90,5144,39,Male,mc_prob_0_FC_0_2
91,5108,40,Male,mc_prob_0_FC_0_2
92,5001,41,Male,mc_prob_0_FC_0_2
93,4983,42,Male,mc_prob_0_FC_0_2
94,4956,43,Male,mc_prob_0_FC_0_2
