,Count,Generation,Sex,Run
0,5000,0,Female,clvr_cost_0_intro_0.1_1
1,4555,1,Female,clvr_cost_0_intro_0.1_1
2,4416,2,Female,clvr_cost_0_intro_0.1_1
3,4322,3,Female,clvr_cost_0_intro_0.1_1
4,4281,4,Female,clvr_cost_0_intro_0.1_1
5,4269,5,Female,clvr_cost_0_intro_0.1_1
6,4156,6,Female,clvr_cost_0_intro_0.1_1
7,4001,7,Female,clvr_cost_0_intro_0.1_1
8,3832,8,Female,clvr_cost_0_intro_0.1_1
9,3599,9,Female,clvr_cost_0_intro_0.1_1
10,3523,10,Female,clvr_cost_0_intro_0.1_1
11,3504,11,Female,clvr_cost_0_intro_0.1_1
12,3773,12,Female,clvr_cost_0_intro_0.1_1
13,4457,13,Female,clvr_cost_0_intro_0.1_1
14,4863,14,Female,clvr_cost_0_intro_0.1_1
15,4989,15,Female,clvr_cost_0_intro_0.1_1
16,5020,16,Female,clvr_cost_0_intro_0.1_1
17,4832,17,Female,clvr_cost_0_intro_0.1_1
18,4898,18,Female,clvr_cost_0_intro_0.1_1
19,4834,19,Female,clvr_cost_0_intro_0.1_1
20,5089,20,Female,clvr_cost_0_intro_0.1_1
21,5036,21,Female,clvr_cost_0_intro_0.1_1
22,4962,22,Female,clvr_cost_0_intro_0.1_1
23,5023,23,Female,clvr_cost_0_intro_0.1_1
24,4995,24,Female,clvr_cost_0_intro_0.1_1
25,4868,25,Female,clvr_cost_0_intro_0.1_1
26,4885,26,Female,clvr_cost_0_intro_0.1_1
27,5016,27,Female,clvr_cost_0_intro_0.1_1
28,4979,28,Female,clvr_cost_0_intro_0.1_1
29,5028,29,Female,clvr_cost_0_intro_0.1_1
30,4848,30,Female,clvr_cost_0_intro_0.1_1
31,4958,31,Female,clvr_cost_0_intro_0.1_1
32,4940,32,Female,clvr_cost_0_intro_0.1_1
33,4951,33,Female,clvr_cost_0_intro_0.1_1
34,5036,34,Female,clvr_cost_0_intro_0.1_1
35,5114,35,Female,clvr_cost_0_intro_0.1_1
36,5008,36,Female,clvr_cost_0_intro_0.1_1
37,5010,37,Female,clvr_cost_0_intro_0.1_1
38,5011,38,Female,clvr_cost_0_intro_0.1_1
39,5123,39,Female,clvr_cost_0_intro_0.1_1
40,4929,40,Female,clvr_cost_0_intro_0.1_1
41,5068,41,Female,clvr_cost_0_intro_0.1_1
42,4883,42,Female,clvr_cost_0_intro_0.1_1
43,4942,43,Female,clvr_cost_0_intro_0.1_1
