,Count,Generation,Sex,Run
0,5000,0,Female,clvr_cost_0_intro_0.2_1
1,4242,1,Female,clvr_cost_0_intro_0.2_1
2,4109,2,Female,clvr_cost_0_intro_0.2_1
3,3882,3,Female,clvr_cost_0_intro_0.2_1
4,3645,4,Female,clvr_cost_0_intro_0.2_1
5,3608,5,Female,clvr_cost_0_intro_0.2_1
6,3635,6,Female,clvr_cost_0_intro_0.2_1
7,3958,7,Female,clvr_cost_0_intro_0.2_1
8,4522,8,Female,clvr_cost_0_intro_0.2_1
9,4966,9,Female,clvr_cost_0_intro_0.2_1
10,5043,10,Female,clvr_cost_0_intro_0.2_1
11,4889,11,Female,clvr_cost_0_intro_0.2_1
12,5003,12,Female,clvr_cost_0_intro_0.2_1
13,5022,13,Female,clvr_cost_0_intro_0.2_1
14,4881,14,Female,clvr_cost_0_intro_0.2_1
15,4924,15,Female,clvr_cost_0_intro_0.2_1
16,4941,16,Female,clvr_cost_0_intro_0.2_1
17,5008,17,Female,clvr_cost_0_intro_0.2_1
18,5081,18,Female,clvr_cost_0_intro_0.2_1
19,5063,19,Female,clvr_cost_0_intro_0.2_1
20,4964,20,Female,clvr_cost_0_intro_0.2_1
21,4917,21,Female,clvr_cost_0_intro_0.2_1
22,4975,22,Female,clvr_cost_0_intro_0.2_1
23,4936,23,Female,clvr_cost_0_intro_0.2_1
24,5007,24,Female,clvr_cost_0_intro_0.2_1
25,4958,25,Female,clvr_cost_0_intro_0.2_1
26,4998,26,Female,clvr_cost_0_intro_0.2_1
27,4995,27,Female,clvr_cost_0_intro_0.2_1
28,5025,28,Female,clvr_cost_0_intro_0.2_1
29,4962,29,Female,clvr_cost_0_intro_0.2_1
30,4862,30,Female,clvr_cost_0_intro_0.2_1
31,4935,31,Female,clvr_cost_0_intro_0.2_1
32,4889,32,Female,clvr_cost_0_intro_0.2_1
33,4913,33,Female,clvr_cost_0_intro_0.2_1
34,5039,34,Female,clvr_cost_0_intro_0.2_1
35,5029,35,Female,clvr_cost_0_intro_0.2_1
36,4848,36,Female,clvr_cost_0_intro_0.2_1
37,4859,37,Female,clvr_cost_0_intro_0.2_1
38,4916,38,Female,clvr_cost_0_intro_0.2_1
39,4952,39,Female,clvr_cost_0_intro_0.2_1
40,4910,40,Female,clvr_cost_0_intro_0.2_1
41,4797,41,Female,clvr_cost_0_intro_0.2_1
42,4880,42,Female,clvr_cost_0_intro_0.2_1
