,Count,Generation,Sex,Run
0,5000.0,0,Female,mc_prob_0_FC_0_1
1,4552.0,1,Female,mc_prob_0_FC_0_1
2,4604.0,2,Female,mc_prob_0_FC_0_1
3,4336.0,3,Female,mc_prob_0_FC_0_1
4,3982.0,4,Female,mc_prob_0_FC_0_1
5,3695.0,5,Female,mc_prob_0_FC_0_1
6,3113.0,6,Female,mc_prob_0_FC_0_1
7,2524.0,7,Female,mc_prob_0_FC_0_1
8,1695.0,8,Female,mc_prob_0_FC_0_1
9,1052.0,9,Female,mc_prob_0_FC_0_1
10,585.0,10,Female,mc_prob_0_FC_0_1
11,241.0,11,Female,mc_prob_0_FC_0_1
12,78.0,12,Female,mc_prob_0_FC_0_1
13,74.0,13,Female,mc_prob_0_FC_0_1
14,0.0,14,Female,mc_prob_0_FC_0_1
15,0.0,15,Female,mc_prob_0_FC_0_1
16,0.0,16,Female,mc_prob_0_FC_0_1
17,0.0,17,Female,mc_prob_0_FC_0_1
18,0.0,18,Female,mc_prob_0_FC_0_1
19,0.0,19,Female,mc_prob_0_FC_0_1
20,0.0,20,Female,mc_prob_0_FC_0_1
21,0.0,21,Female,mc_prob_0_FC_0_1
22,0.0,22,Female,mc_prob_0_FC_0_1
23,0.0,23,Female,mc_prob_0_FC_0_1
24,0.0,24,Female,mc_prob_0_FC_0_1
25,0.0,25,Female,mc_prob_0_FC_0_1
26,0.0,26,Female,mc_prob_0_FC_0_1
27,0.0,27,Female,mc_prob_0_FC_0_1
28,0.0,28,Female,mc_prob_0_FC_0_1
29,0.0,29,Female,mc_prob_0_FC_0_1
30,0.0,30,Female,mc_prob_0_FC_0_1
31,0.0,31,Female,mc_prob_0_FC_0_1
32,0.0,32,Female,mc_prob_0_FC_0_1
33,0.0,33,Female,mc_prob_0_FC_0_1
34,0.0,34,Female,mc_prob_0_FC_0_1
35,0.0,35,Female,mc_prob_0_FC_0_1
36,0.0,36,Female,mc_prob_0_FC_0_1
37,0.0,37,Female,mc_prob_0_FC_0_1
38,0.0,38,Female,mc_prob_0_FC_0_1
39,0.0,39,Female,mc_prob_0_FC_0_1
40,0.0,40,Female,mc_prob_0_FC_0_1
41,0.0,41,Female,mc_prob_0_FC_0_1
42,0.0,42,Female,mc_prob_0_FC_0_1
43,0.0,43,Female,mc_prob_0_FC_0_1
44,0.0,44,Female,mc_prob_0_FC_0_1
45,0.0,45,Female,mc_prob_0_FC_0_1
46,0.0,46,Female,mc_prob_0_FC_0_1
47,0.0,47,Female,mc_prob_0_FC_0_1
48,0.0,48,Female,mc_prob_0_FC_0_1
49,0.0,49,Female,mc_prob_0_FC_0_1
50,0.0,50,Female,mc_prob_0_FC_0_1
51,6000.0,0,Male,mc_prob_0_FC_0_1
52,4589.0,1,Male,mc_prob_0_FC_0_1
53,4621.0,2,Male,mc_prob_0_FC_0_1
54,4358.0,3,Male,mc_prob_0_FC_0_1
55,4060.0,4,Male,mc_prob_0_FC_0_1
56,3708.0,5,Male,mc_prob_0_FC_0_1
57,3177.0,6,Male,mc_prob_0_FC_0_1
58,2602.0,7,Male,mc_prob_0_FC_0_1
59,1804.0,8,Male,mc_prob_0_FC_0_1
60,1073.0,9,Male,mc_prob_0_FC_0_1
61,601.0,10,Male,mc_prob_0_FC_0_1
62,275.0,11,Male,mc_prob_0_FC_0_1
63,80.0,12,Male,mc_prob_0_FC_0_1
64,76.0,13,Male,mc_prob_0_FC_0_1
65,0.0,14,Male,mc_prob_0_FC_0_1
66,0.0,15,Male,mc_prob_0_FC_0_1
67,0.0,16,Male,mc_prob_0_FC_0_1
68,0.0,17,Male,mc_prob_0_FC_0_1
69,0.0,18,Male,mc_prob_0_FC_0_1
70,0.0,19,Male,mc_prob_0_FC_0_1
71,0.0,20,Male,mc_prob_0_FC_0_1
72,0.0,21,Male,mc_prob_0_FC_0_1
73,0.0,22,Male,mc_prob_0_FC_0_1
74,0.0,23,Male,mc_prob_0_FC_0_1
