,Count,Generation,Sex,Run
0,5000,0,Female,clvr_cost_0_intro_0.1_1
1,4605,1,Female,clvr_cost_0_intro_0.1_1
2,4566,2,Female,clvr_cost_0_intro_0.1_1
3,4386,3,Female,clvr_cost_0_intro_0.1_1
4,4094,4,Female,clvr_cost_0_intro_0.1_1
5,3795,5,Female,clvr_cost_0_intro_0.1_1
6,3576,6,Female,clvr_cost_0_intro_0.1_1
7,3556,7,Female,clvr_cost_0_intro_0.1_1
8,3850,8,Female,clvr_cost_0_intro_0.1_1
9,4445,9,Female,clvr_cost_0_intro_0.1_1
10,4781,10,Female,clvr_cost_0_intro_0.1_1
11,5020,11,Female,clvr_cost_0_intro_0.1_1
12,5001,12,Female,clvr_cost_0_intro_0.1_1
13,5016,13,Female,clvr_cost_0_intro_0.1_1
14,4956,14,Female,clvr_cost_0_intro_0.1_1
15,4964,15,Female,clvr_cost_0_intro_0.1_1
16,4869,16,Female,clvr_cost_0_intro_0.1_1
17,4850,17,Female,clvr_cost_0_intro_0.1_1
18,4986,18,Female,clvr_cost_0_intro_0.1_1
19,4930,19,Female,clvr_cost_0_intro_0.1_1
20,4970,20,Female,clvr_cost_0_intro_0.1_1
21,5113,21,Female,clvr_cost_0_intro_0.1_1
22,5079,22,Female,clvr_cost_0_intro_0.1_1
23,5011,23,Female,clvr_cost_0_intro_0.1_1
24,4983,24,Female,clvr_cost_0_intro_0.1_1
25,5028,25,Female,clvr_cost_0_intro_0.1_1
26,4984,26,Female,clvr_cost_0_intro_0.1_1
27,4952,27,Female,clvr_cost_0_intro_0.1_1
28,5035,28,Female,clvr_cost_0_intro_0.1_1
29,5064,29,Female,clvr_cost_0_intro_0.1_1
30,4890,30,Female,clvr_cost_0_intro_0.1_1
31,4897,31,Female,clvr_cost_0_intro_0.1_1
32,5049,32,Female,clvr_cost_0_intro_0.1_1
33,4995,33,Female,clvr_cost_0_intro_0.1_1
34,4953,34,Female,clvr_cost_0_intro_0.1_1
35,5022,35,Female,clvr_cost_0_intro_0.1_1
36,4938,36,Female,clvr_cost_0_intro_0.1_1
37,4917,37,Female,clvr_cost_0_intro_0.1_1
38,4930,38,Female,clvr_cost_0_intro_0.1_1
39,4927,39,Female,clvr_cost_0_intro_0.1_1
40,4866,40,Female,clvr_cost_0_intro_0.1_1
41,4938,41,Female,clvr_cost_0_intro_0.1_1
42,4994,42,Female,clvr_cost_0_intro_0.1_1
43,5059,43,Female,clvr_cost_0_intro_0.1_1
44,4955,44,Female,clvr_cost_0_intro_0.1_1
45,4962,45,Female,clvr_cost_0_intro_0.1_1
46,4874,46,Female,clvr_cost_0_intro_0.1_1
47,4963,47,Female,clvr_cost_0_intro_0.1_1
48,5004,48,Female,clvr_cost_0_intro_0.1_1
49,4919,49,Female,clvr_cost_0_intro_0.1_1
50,4974,50,Female,clvr_cost_0_intro_0.1_1
51,6000,0,Male,clvr_cost_0_intro_0.1_1
52,4684,1,Male,clvr_cost_0_intro_0.1_1
53,4584,2,Male,clvr_cost_0_intro_0.1_1
54,4422,3,Male,clvr_cost_0_intro_0.1_1
55,4188,4,Male,clvr_cost_0_intro_0.1_1
56,3828,5,Male,clvr_cost_0_intro_0.1_1
57,3635,6,Male,clvr_cost_0_intro_0.1_1
58,3637,7,Male,clvr_cost_0_intro_0.1_1
59,3946,8,Male,clvr_cost_0_intro_0.1_1
60,4540,9,Male,clvr_cost_0_intro_0.1_1
61,4848,10,Male,clvr_cost_0_intro_0.1_1
62,5020,11,Male,clvr_cost_0_intro_0.1_1
63,5046,12,Male,clvr_cost_0_intro_0.1_1
64,5077,13,Male,clvr_cost_0_intro_0.1_1
65,4974,14,Male,clvr_cost_0_intro_0.1_1
66,5063,15,Male,clvr_cost_0_intro_0.1_1
67,5005,16,Male,clvr_cost_0_intro_0.1_1
68,4875,17,Male,clvr_cost_0_intro_0.1_1
69,4998,18,Male,clvr_cost_0_intro_0.1_1
70,5032,19,Male,clvr_cost_0_intro_0.1_1
71,4990,20,Male,clvr_cost_0_intro_0.1_1
72,5113,21,Male,clvr_cost_0_intro_0.1_1
73,5101,22,Male,clvr_cost_0_intro_0.1_1
74,5031,23,Male,clvr_cost_0_intro_0.1_1
75,5067,24,Male,clvr_cost_0_intro_0.1_1
76,5120,25,Male,clvr_cost_0_intro_0.1_1
77,5071,26,Male,clvr_cost_0_intro_0.1_1
78,5005,27,Male,clvr_cost_0_intro_0.1_1
79,5043,28,Male,clvr_cost_0_intro_0.1_1
80,5091,29,Male,clvr_cost_0_intro_0.1_1
81,4992,30,Male,clvr_cost_0_intro_0.1_1
82,4912,31,Male,clvr_cost_0_intro_0.1_1
83,5059,32,Male,clvr_cost_0_intro_0.1_1
84,5055,33,Male,clvr_cost_0_intro_0.1_1
85,5003,34,Male,clvr_cost_0_intro_0.1_1
86,5051,35,Male,clvr_cost_0_intro_0.1_1
87,4997,36,Male,clvr_cost_0_intro_0.1_1
88,4971,37,Male,clvr_cost_0_intro_0.1_1
89,4939,38,Male,clvr_cost_0_intro_0.1_1
90,5052,39,Male,clvr_cost_0_intro_0.1_1
91,4954,40,Male,clvr_cost_0_intro_0.1_1
92,4955,41,Male,clvr_cost_0_intro_0.1_1
93,5061,42,Male,clvr_cost_0_intro_0.1_1
94,5099,43,Male,clvr_cost_0_intro_0.1_1
95,4991,44,Male,clvr_cost_0_intro_0.1_1
96,5030,45,Male,clvr_cost_0_intro_0.1_1
97,4904,46,Male,clvr_cost_0_intro_0.1_1
98,4968,47,Male,clvr_cost_0_intro_0.1_1
99,5072,48,Male,clvr_cost_0_intro_0.1_1
100,4988,49,Male,clvr_cost_0_intro_0.1_1
101,4974,50,Male,clvr_cost_0_intro_0.1_1
,Count,Generation,Sex,Run
0,5000,0,Female,clvr_cost_0_intro_0.1_2
1,4587,1,Female,clvr_cost_0_intro_0.1_2
2,4486,2,Female,clvr_cost_0_intro_0.1_2
3,4332,3,Female,clvr_cost_0_intro_0.1_2
4,4129,4,Female,clvr_cost_0_intro_0.1_2
5,3912,5,Female,clvr_cost_0_intro_0.1_2
6,3615,6,Female,clvr_cost_0_intro_0.1_2
7,3642,7,Female,clvr_cost_0_intro_0.1_2
8,4004,8,Female,clvr_cost_0_intro_0.1_2
9,4526,9,Female,clvr_cost_0_intro_0.1_2
10,4864,10,Female,clvr_cost_0_intro_0.1_2
11,4992,11,Female,clvr_cost_0_intro_0.1_2
12,4970,12,Female,clvr_cost_0_intro_0.1_2
13,5024,13,Female,clvr_cost_0_intro_0.1_2
14,4993,14,Female,clvr_cost_0_intro_0.1_2
15,5020,15,Female,clvr_cost_0_intro_0.1_2
16,4989,16,Female,clvr_cost_0_intro_0.1_2
17,4917,17,Female,clvr_cost_0_intro_0.1_2
18,4962,18,Female,clvr_cost_0_intro_0.1_2
19,4974,19,Female,clvr_cost_0_intro_0.1_2
20,5053,20,Female,clvr_cost_0_intro_0.1_2
21,4945,21,Female,clvr_cost_0_intro_0.1_2
22,4869,22,Female,clvr_cost_0_intro_0.1_2
23,4876,23,Female,clvr_cost_0_intro_0.1_2
24,5015,24,Female,clvr_cost_0_intro_0.1_2
25,4742,25,Female,clvr_cost_0_intro_0.1_2
26,4887,26,Female,clvr_cost_0_intro_0.1_2
27,4863,27,Female,clvr_cost_0_intro_0.1_2
28,4919,28,Female,clvr_cost_0_intro_0.1_2
29,5033,29,Female,clvr_cost_0_intro_0.1_2
30,4971,30,Female,clvr_cost_0_intro_0.1_2
31,4975,31,Female,clvr_cost_0_intro_0.1_2
32,5064,32,Female,clvr_cost_0_intro_0.1_2
33,5005,33,Female,clvr_cost_0_intro_0.1_2
34,4954,34,Female,clvr_cost_0_intro_0.1_2
35,5033,35,Female,clvr_cost_0_intro_0.1_2
36,4890,36,Female,clvr_cost_0_intro_0.1_2
37,4821,37,Female,clvr_cost_0_intro_0.1_2
38,4820,38,Female,clvr_cost_0_intro_0.1_2
39,4945,39,Female,clvr_cost_0_intro_0.1_2
40,5043,40,Female,clvr_cost_0_intro_0.1_2
41,4888,41,Female,clvr_cost_0_intro_0.1_2
42,4896,42,Female,clvr_cost_0_intro_0.1_2
43,4853,43,Female,clvr_cost_0_intro_0.1_2
44,4901,44,Female,clvr_cost_0_intro_0.1_2
45,4995,45,Female,clvr_cost_0_intro_0.1_2
46,4888,46,Female,clvr_cost_0_intro_0.1_2
47,4912,47,Female,clvr_cost_0_intro_0.1_2
48,4914,48,Female,clvr_cost_0_intro_0.1_2
49,4998,49,Female,clvr_cost_0_intro_0.1_2
50,4979,50,Female,clvr_cost_0_intro_0.1_2
51,6000,0,Male,clvr_cost_0_intro_0.1_2
52,4598,1,Male,clvr_cost_0_intro_0.1_2
53,4556,2,Male,clvr_cost_0_intro_0.1_2
54,4365,3,Male,clvr_cost_0_intro_0.1_2
55,4222,4,Male,clvr_cost_0_intro_0.1_2
56,3947,5,Male,clvr_cost_0_intro_0.1_2
57,3637,6,Male,clvr_cost_0_intro_0.1_2
58,3657,7,Male,clvr_cost_0_intro_0.1_2
