,Count,Generation,Sex,Run
0,5000,0,Female,clvr_cost_0_intro_0.1_1
1,4574,1,Female,clvr_cost_0_intro_0.1_1
2,4524,2,Female,clvr_cost_0_intro_0.1_1
3,4361,3,Female,clvr_cost_0_intro_0.1_1
4,4391,4,Female,clvr_cost_0_intro_0.1_1
5,4292,5,Female,clvr_cost_0_intro_0.1_1
6,4294,6,Female,clvr_cost_0_intro_0.1_1
7,4468,7,Female,clvr_cost_0_intro_0.1_1
8,4312,8,Female,clvr_cost_0_intro_0.1_1
9,4118,9,Female,clvr_cost_0_intro_0.1_1
10,3954,10,Female,clvr_cost_0_intro_0.1_1
11,3848,11,Female,clvr_cost_0_intro_0.1_1
12,3690,12,Female,clvr_cost_0_intro_0.1_1
13,3673,13,Female,clvr_cost_0_intro_0.1_1
14,3662,14,Female,clvr_cost_0_intro_0.1_1
15,3843,15,Female,clvr_cost_0_intro_0.1_1
16,4372,16,Female,clvr_cost_0_intro_0.1_1
17,4771,17,Female,clvr_cost_0_intro_0.1_1
18,4904,18,Female,clvr_cost_0_intro_0.1_1
19,4884,19,Female,clvr_cost_0_intro_0.1_1
20,4925,20,Female,clvr_cost_0_intro_0.1_1
21,4915,21,Female,clvr_cost_0_intro_0.1_1
22,4885,22,Female,clvr_cost_0_intro_0.1_1
23,4936,23,Female,clvr_cost_0_intro_0.1_1
24,4891,24,Female,clvr_cost_0_intro_0.1_1
25,4949,25,Female,clvr_cost_0_intro_0.1_1
26,5002,26,Female,clvr_cost_0_intro_0.1_1
27,5031,27,Female,clvr_cost_0_intro_0.1_1
28,4923,28,Female,clvr_cost_0_intro_0.1_1
29,4915,29,Female,clvr_cost_0_intro_0.1_1
30,4999,30,Female,clvr_cost_0_intro_0.1_1
31,4988,31,Female,clvr_cost_0_intro_0.1_1
32,4944,32,Female,clvr_cost_0_intro_0.1_1
33,4938,33,Female,clvr_cost_0_intro_0.1_1
34,4977,34,Female,clvr_cost_0_intro_0.1_1
35,5017,35,Female,clvr_cost_0_intro_0.1_1
36,4957,36,Female,clvr_cost_0_intro_0.1_1
37,4985,37,Female,clvr_cost_0_intro_0.1_1
